arma_dags,midgildi,medaltal,neysluverdsvisitala,year,tax1,tax2,tax3,kr1,kr2,pers_afsl,lif_sjod,vr,skattleysismork,skattur,utborgad,utborgad_fast
2001-08-01,179900,197767.03107371193,214.9,2001,0.38759999999999994,0.38759999999999994,0.38759999999999994,0,0,25245,0.04,0.01,67845.39473684212,41695.0704,129209.9296,601.2560707305723
2001-09-01,185000,203215.23427195646,216.3,2001,0.38759999999999994,0.38759999999999994,0.38759999999999994,0,0,25245,0.04,0.01,67845.39473684212,43592.759999999995,132157.24,610.9904761904761
2001-10-01,190000,207325.22464464567,217.7,2001,0.38759999999999994,0.38759999999999994,0.38759999999999994,0,0,25245,0.04,0.01,67845.39473684212,45453.23999999999,135046.76,620.3342214056041
2001-11-01,201700,220285.67701404286,218.5,2001,0.38759999999999994,0.38759999999999994,0.38759999999999994,0,0,25245,0.04,0.01,67845.39473684212,49806.76319999999,141808.2368,649.0079487414188
2001-12-01,194700,218388.40833617168,219.5,2001,0.38759999999999994,0.38759999999999994,0.38759999999999994,0,0,25245,0.04,0.01,67845.39473684212,47202.091199999995,137762.9088,627.6214523917996
2002-01-01,195000,216632.6704574561,221.5,2002,0.3854,0.3854,0.3854,0,0,26002,0.04,0.01,70278.71475523266,46144.880000000005,139105.12,628.014085778781
2002-02-01,195700,215275.40464450454,220.9,2002,0.3854,0.3854,0.3854,0,0,26002,0.04,0.01,70278.71475523266,46403.8688,139511.1312,631.5578596650068
2002-03-01,195200,213330.72889150312,221.8,2002,0.3854,0.3854,0.3854,0,0,26002,0.04,0.01,70278.71475523266,46218.8768,139221.1232,627.687660955816
2002-04-01,198300,217662.14038551462,221.9,2002,0.3854,0.3854,0.3854,0,0,26002,0.04,0.01,70278.71475523266,47365.8272,141019.1728,635.5077638575935
2002-05-01,196800,215803.18004719587,221.8,2002,0.3854,0.3854,0.3854,0,0,26002,0.04,0.01,70278.71475523266,46810.851200000005,140149.1488,631.8717258791704
2002-06-01,190400,211909.44780852264,222.8,2002,0.3854,0.3854,0.3854,0,0,26002,0.04,0.01,70278.71475523266,44442.95360000001,136437.0464,612.3745350089766
2002-07-01,190400,210762.27627988716,223,2002,0.3854,0.3854,0.3854,0,0,26002,0.04,0.01,70278.71475523266,44442.95360000001,136437.0464,611.8253201793722
2002-08-01,190000,208499.15259755804,221.8,2002,0.3854,0.3854,0.3854,0,0,26002,0.04,0.01,70278.71475523266,44294.96000000001,136205.03999999998,614.0894499549142
2002-09-01,198000,217591.90835922776,222.9,2002,0.3854,0.3854,0.3854,0,0,26002,0.04,0.01,70278.71475523266,47254.83200000001,140845.168,631.8760340960072
2002-10-01,201500,219930.39058012638,224.1,2002,0.3854,0.3854,0.3854,0,0,26002,0.04,0.01,70278.71475523266,48549.776,142875.224,637.5512003569835
2002-11-01,216000,232915.3876633987,223.7,2002,0.3854,0.3854,0.3854,0,0,26002,0.04,0.01,70278.71475523266,53914.54400000001,151285.456,676.2872418417525
2002-12-01,198600,225553.2811106016,223.9,2002,0.3854,0.3854,0.3854,0,0,26002,0.04,0.01,70278.71475523266,47476.822400000005,141193.1776,630.6082072353729
2003-01-01,207300,228599.3123501824,224.7,2003,0.3855,0.3855,0.3855,0,0,26825,0.04,0.01,72484.32771292694,49892.584,147042.416,654.3943747218514
2003-02-01,208000,229701.3181180533,224.3,2003,0.3855,0.3855,0.3855,0,0,26825,0.04,0.01,72484.32771292694,50151.64,147448.36,657.3711992866696
2003-03-01,208600,231180.67158789167,226.7,2003,0.3855,0.3855,0.3855,0,0,26825,0.04,0.01,72484.32771292694,50373.687999999995,147796.312,651.9466784296427
2003-04-01,210600,232612.61517060368,227,2003,0.3855,0.3855,0.3855,0,0,26825,0.04,0.01,72484.32771292694,51113.848,148956.152,656.1945022026432
2003-05-01,212000,233582.3692253733,226.6,2003,0.3855,0.3855,0.3855,0,0,26825,0.04,0.01,72484.32771292694,51631.96000000001,149768.03999999998,660.9357458075904
2003-06-01,208200,229227.97717566017,226.8,2003,0.3855,0.3855,0.3855,0,0,26825,0.04,0.01,72484.32771292694,50225.656,147564.34399999998,650.6364373897707
2003-07-01,199900,220444.5990083246,226.5,2003,0.3855,0.3855,0.3855,0,0,26825,0.04,0.01,72484.32771292694,47153.992,142751.008,630.2472759381899
