date,ibudarhus,utlan_heimila,max_hlutfall,laegstu_vextir,greidd_husaleiga,utborgad,utlan_breyting,utlan_hrodun,d_hus,d_utb,d_leiga
2001-10-01,151.88500793374172,648803.421,0.65,0.051,149.9,135046.76,0.15286858988631247,0.006573838073463012,0.04436856947719714,0.0705345825449133,0.07224606580829751
2001-11-01,152.8279175794621,653413.3049999999,0.65,0.051,150.5,141808.2368,0.1405248897618474,-0.012343700124465062,0.025063940552005226,0.09880194772641016,0.07117437722419928
2001-12-01,153.99193463052018,656263.571,0.65,0.051,150.8,137762.9088,0.15707279447457423,0.016547904712726824,0.031008640662031794,0.08605675919294353,0.07178393745557932
2002-01-01,155.00222688580945,678978.702,0.65,0.051,152.3,139105.12,0.18269749312662253,0.025624698652048306,0.04696402698208946,0.06326669637527793,0.08475783475783483
2002-02-01,156.24714582596616,682365.5549999999,0.65,0.051,152.3,139511.1312,0.17687619466875648,-0.005821298457866053,0.02141501260251344,0.07396046396760458,0.07102672292545731
2002-03-01,156.60172976501084,682897.365,0.65,0.051,152.3,139221.1232,0.16893414490780811,-0.007942049760948366,0.0266976701950703,0.07459632183203957,0.0628053035589673
2002-04-01,153.9861825591189,688795.257,0.65,0.051,158.6,141019.1728,0.15792305683463415,-0.011011088073173969,-0.0021453579686568913,0.06705597665326546,0.09757785467128022
2002-05-01,157.89135701060252,687694.907,0.65,0.051,158.8,140149.1488,0.13923109505217957,-0.01869196178245458,0.0532836069009468,0.052647506501983576,0.09366391184573009
2002-06-01,155.94987627272198,698486.298,0.65,0.051,158.8,136437.0464,0.13744337427930797,-0.0017877207728715927,0.019598630177645182,0.05546107257094013,0.07734056987788329
2002-07-01,158.01150353948626,705090.817,0.65,0.051,161.2,136437.0464,0.1367296054526692,-7.13768826638761e-4,0.03731003999101801,0.05546107257094013,0.08625336927223715
2002-08-01,158.9039500648564,704074.581,0.65,0.051,161.3,136205.03999999998,0.1217783925789293,-0.014951212873739905,0.0610838173261159,0.05413756064766084,0.07892976588628775
2002-09-01,160.57535184189115,711804.3490013999,0.65,0.051,162.8,140845.168,0.11309585773993769,-0.008682534838991618,0.06731969935321436,0.0657393268806159,0.08750835003340018
2002-10-01,163.72191965747564,722911.656154,0.65,0.051,163.2,142875.224,0.11422294142619815,0.001127083686260466,0.07793337792033861,0.05796854363629289,0.08872581721147421
2002-11-01,164.36733335424088,727537.7274388,0.65,0.051,163.5,151285.456,0.11344186271015722,-7.810787160409394e-4,0.07550594130669164,0.06683123218975107,0.08637873754152814
2002-12-01,165.56731067977603,731791.955209,0.65,0.051,169.2,141193.1776,0.11508849118946451,0.0016466284793072994,0.07516871631640432,0.024899799444420445,0.12201591511936316
2003-01-01,168.9735901790322,736781.5912369,0.65,0.051,169.3,147042.416,0.0851321095442843,-0.02995638164518022,0.09013653270617517,0.0570596970118713,0.11162179908076175
2003-02-01,170.17202581109905,739792.1735451,0.65,0.051,169.6,147448.36,0.08415814386337273,-9.739656809115704e-4,0.08912085985009255,0.056893157784100756,0.11359159553512788
2003-03-01,173.52485230526437,753751.6289823,0.65,0.051,174.4,147796.312,0.10375536297800769,0.019597219114634967,0.10806472294812819,0.061594021100384255,0.14510833880499008
2003-04-01,171.8342886844992,754513.3035591,0.65,0.051,175.1,148956.152,0.0954101322435501,-0.008345230734457587,0.11590719263741733,0.05628297941625715,0.10403530895334168
2003-05-01,175.93678328885642,764804.8958516,0.65,0.051,175.2,149768.03999999998,0.11212819531845097,0.01671806307490087,0.11429014621137323,0.06863324738223442,0.10327455919395456
2003-06-01,179.08457315890521,775825.1845275,0.65,0.051,175.8,147564.34399999998,0.11072355570745929,-0.001404639610991687,0.14834700378810006,0.0815562773718912,0.10705289672544072
2003-07-01,179.98511900888795,780827.516168,0.65,0.051,175.9,142751.008,0.10741410516483851,-0.003309450542620773,0.139063390811357,0.04627747204002808,0.09119106699751867
2003-08-01,182.611688874904,784296.7930791,0.65,0.051,175.8,143736.872,0.11393993512045286,0.006525829955614348,0.1491954026339266,0.05529774815968658,0.08989460632362056
2003-09-01,180.8487049708918,726359.7478334,0.65,0.051,177.2,150637.91999999998,0.020448594971947065,-0.0934913401485058,0.12625445248261125,0.06952849103066128,0.0884520884520883
2003-10-01,183.9720196738558,758356.7976697,0.65,0.051,177.8,150579.928,0.049031083139914555,0.02858248816796749,0.12368594296197855,0.05392610268103604,0.08946078431372562
2003-11-01,185.20392368354382,764643.8720425,0.65,0.051,178.2,163048.20799999998,0.051002364831755465,0.0019712816918409093,0.12676843934917637,0.07775203453793988,0.0899082568807339
2003-12-01,180.55123910329797,765762.249657,0.65,0.051,180,152232.7,0.04642069949825833,-0.004581665333497131,0.09050052430036981,0.0781873642030706,0.06382978723404253
2004-01-01,183.0674429854584,759179.9156955,0.65,0.051,180.2,150899.31946666667,0.030400222705073254,-0.01602047679318508,0.08340861309446868,0.026229870071412975,0.06438275251033665
2004-02-01,185.90721708956644,768190.4627992,0.65,0.051,180.2,152116.54666666666,0.03838684737365461,0.007986624668581355,0.09246638043748967,0.0316598073160439,0.0625
2004-03-01,190.27789111390473,772988.9699203,0.65,0.051,186.8,153391.73706666665,0.025522121874514303,-0.012864725499140306,0.09654547222531829,0.037859030384104875,0.07110091743119273
2004-04-01,194.94143978419126,784609.1902576999,0.65,0.051,187.3,154666.92746666668,0.03988781451120227,0.014365692636687966,0.13447345856634318,0.03833863449068331,0.06967447173043984
2004-05-01,195.98628596076472,789394.2303703,0.65,0.051,187.8,163187.51786666666,0.032151120700293356,-0.007736693810908912,0.11395856112130143,0.08960174591766501,0.07191780821917826
2004-06-01,196.838351352913,801205.7469024,0.65,0.051,188.5,154087.29546666666,0.032714280073748325,5.631593734549689e-4,0.09913627891473675,0.04420411658975487,0.0722411831626848
2004-07-01,202.62930028191914,803095.1646597,0.65,0.048,189.3,152812.10506666667,0.028518012020095185,-0.0041962680536531405,0.12581140817487801,0.07048004219113224,0.07617964752700401
2004-08-01,200.0030225224893,816075.0329406001,0.65,0.045,188.8,154551.00106666668,0.04051813056220821,0.012000118542113025,0.09523669462089601,0.07523559484908415,0.07394766780432316
2004-09-01,206.69462995253758,820832.1429577,0.8,0.0435,194.9,157854.90346666667,0.13006281722809399,0.08954468666588578,0.14291462571327673,0.04790947370135412,0.09988713318284437
2004-10-01,209.3198813416652,830788.0716567,0.8,0.043,195.3,163303.44426666666,0.09551081260109862,-0.03455200462699537,0.1377810697123718,0.08449676152499319,0.09842519685039375
2004-11-01,217.29362714027155,859945.6387062,1,0.0415,195.9,170896.62346666667,0.12463549391840689,0.029124681317308276,0.1732668661575394,0.04813555182812368,0.09932659932659949
2004-12-01,222.69583644727018,864764.8249629,1,0.0415,195.7,162144.18026666666,0.12928630962187704,0.004650815703470146,0.23342181174320387,0.06510743267817398,0.08722222222222209
2005-01-01,234.12714530008142,887549.9943309,1,0.0415,196.1,164747.0232,0.16909045666440958,0.039804147042532545,0.278911976274661,0.09176783422401225,0.08823529411764719
2005-02-01,245.7198801918715,902426.615554,1,0.0415,196.4,169743.2552,0.17474332116238278,0.005652864497973198,0.3217339490025741,0.115876339028119,0.08990011098779149
2005-03-01,251.58839354086302,915735.7783550001,1,0.0415,197.9,169155.4632,0.18466862269641204,0.009925301534029263,0.322215587255255,0.10276776594871051,0.05942184154175578
2005-04-01,261.41929080773275,937422.0737653,1,0.0415,198.6,171124.5664,0.19476305580541275,0.010094433109000711,0.34101446617576747,0.10640696885169731,0.06033101975440469
2005-05-01,271.35561356960227,951259.8031496,1,0.0415,198.7,172799.77360000001,0.20505036210281125,0.01028730629739849,0.3845642935645306,0.058903130944041315,0.05804046858359935
2005-06-01,273.2,966028.1146154001,1,0.0415,200.2,166216.50319999998,0.20571790498287346,6.675428800622107e-4,0.38794090746156273,0.07871646845769442,0.06206896551724128
2005-07-01,282.43215395743914,974349.2745619,1,0.0415,200.7,163542.0496,0.2132426111353396,0.007524706152466143,0.39383669372834973,0.07021658741401549,0.060221870047543424
